	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,409	1,129	1,342		327	349	361	
영업이익	-39	-144	-35		1	4	-19	
영업이익(발표기준)	-39	-144	-35		1	4	-19	
세전계속사업이익	-53	-189	-68		0	-15	-31	
당기순이익	-49	-156	-158		0	-7	-133	
당기순이익(지배)	-45	-155	-158		0	-7	-133	
당기순이익(비지배)	-4							
자산총계	2,114	1,913	1,878		1,901	1,982	1,878	
부채총계	445	402	528		405	493	528	
자본총계	1,670	1,511	1,350		1,496	1,490	1,350	
자본총계(지배)	1,671	1,511	1,350		1,496	1,490	1,350	
자본총계(비지배)	-1							
자본금	164	164	164		164	164	164	
영업활동현금흐름	-59	-77	-12		1	-52	38	
투자활동현금흐름	-39	41	0		-10	6	5	
재무활동현금흐름		6	-4		-3	42	-32	
CAPEX	50	15	18		4	10	2	
FCF	-108	-92	-30		-3	-62	36	
이자발생부채	14	19	63		34	81	63	
영업이익률	-2.80	-12.80	-2.60		0.38	1.13	-5.23	
순이익률	-3.48	-13.85	-11.78		-0.02	-2.00	-36.96	
ROE(%)	-2.65	-9.76	-11.05		-9.23	-11.08	-11.05	
ROA(%)	-2.24	-7.76	-8.34		-7.36	-8.40	-8.34	
부채비율	26.64	26.61	39.09		27.04	33.07	39.09	
자본유보율	918.46	837.54	740.13		827.10	822.80	740.13	
EPS(원)	-136	-472	-481		0	-21	-406	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	5,079	4,593	4,106		4,549	4,530	4,106	
PBR(배)	1.13	0.82	0.91		0.74	0.75	0.91	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	32,887,536	32,887,536	32,887,536		32,887,536	32,887,536	32,887,536	
