	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	3,978	4,601	5,650	5,980	1,478	1,474	1,306	1,360
영업이익	217	310	429	414	109	117	41	59
영업이익(발표기준)	217	310	429		109	117	41	
세전계속사업이익	194	180	293	343	9	91	-15	50
당기순이익	57	63	-220	215	-369	27	-51	50
당기순이익(지배)	101	127	-163	252	-352	34	-36	38
당기순이익(비지배)	-44							
자산총계	5,557	6,379	7,974	8,637	7,500	7,974	7,876	
부채총계	4,353	5,239	7,150	7,445	6,710	7,150	7,113	
자본총계	1,204	1,140	823	1,189	790	823	763	
자본총계(지배)	1,130	1,086	800	1,260	763	800	758	
자본총계(비지배)	74							
자본금	71	71	71	70	71	71	71	
영업활동현금흐름	468	412	673	712	150	102	-271	
투자활동현금흐름	-466	-573	-1,140	-236	-272	-401	41	
재무활동현금흐름	361	167	579	-2	3	367	168	
CAPEX	868	331	1,027	241	292	257	156	
FCF	-400	81	-354	486	-142	-155	-427	
이자발생부채	1,684	1,824	2,813		2,378	2,813	3,033	
영업이익률	5.46	6.73	7.59	6.92	7.34	7.97	3.13	4.36
순이익률	1.42	1.36	-3.89	3.59	-24.98	1.83	-3.94	3.68
ROE(%)	9.30	11.45	-17.24	24.50	-16.11	-17.24	-31.59	
ROA(%)	1.10	1.05	-3.06	2.59	-3.37	-3.06	-4.92	
부채비율	361.56	459.61	868.40	626.08	848.81	868.40	931.90	
자본유보율	1,975.49	1,964.47	1,706.83		1,659.63	1,706.83	1,650.98	
EPS(원)	708	888	-1,138	1,767	-2,466	238	-249	264
PER(배)	83.53	60.22	N/A	18.51	N/A	N/A	N/A	
BPS(원)	8,119	7,919	5,880	9,258	5,606	5,880	5,571	
PBR(배)	7.28	6.76	7.19	3.53	7.44	7.19	5.08	
현금DPS(원)				0				
현금배당수익률				0.00				
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	14,285,717	14,285,717	14,285,717		14,285,717	14,285,717	14,285,717	
