	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	393	572	656	797		167	168	172
영업이익	94	132	134	159		30	32	39
영업이익(발표기준)	94	132	134			30	32	
세전계속사업이익	118	150	160	187		36	39	44
당기순이익	94	120	129	148		30	33	35
당기순이익(지배)	94	120	129	148		30	33	35
당기순이익(비지배)								
자산총계	1,003	1,139	1,692	1,906		1,774	1,692	
부채총계	600	588	586	688		624	586	
자본총계	403	551	1,106	1,218		1,150	1,106	
자본총계(지배)	403	551	1,106	1,218		1,150	1,106	
자본총계(비지배)								
자본금	21	42	46	46		46	46	
영업활동현금흐름	415	119	117	276			-1	
투자활동현금흐름	168	-87	-555	-20			-249	
재무활동현금흐름	4		398	-34			-91	
CAPEX	8	10	14	10			8	
FCF	407	109	103	405		0	-9	
이자발생부채	0	0	2			2	2	
영업이익률	23.89	23.04	20.49	19.92		18.13	19.27	22.67
순이익률	23.79	20.98	19.65	18.54		17.66	19.78	20.35
ROE(%)	26.66	25.15	15.54	12.71				
ROA(%)	12.17	11.20	9.10	8.21				
부채비율	149.04	106.71	52.96	56.55		54.29	52.96	
자본유보율	1,897.40	1,208.24	2,418.53			2,340.78	2,418.53	
EPS(원)	1,165	1,438	1,466	1,593		321	359	378
PER(배)			19.72	19.45				
BPS(원)	4,830	6,609	12,344	14,090		12,406	12,344	
PBR(배)	0.00	0.00	2.34	2.20		3.20	2.34	
현금DPS(원)	0	0	380	0	0	0	380	
현금배당수익률			1.31	0.00			1.29	
현금배당성향(%)	0.00	0.00	26.44			0.00	102.33	
발행주식수(보통주)	8,340,000	8,340,000	9,267,000		8,340,000	9,267,000	9,267,000	
