	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	3,376	3,864	4,389	5,248	1,082	1,077	1,291	1,357
영업이익	488	585	741	890	174	201	241	235
영업이익(발표기준)	488	585	741		174	201	241	
세전계속사업이익	590	642	721	892	181	169	240	232
당기순이익	474	493	548	685	136	122	185	
당기순이익(지배)	458	484	545	683	137	120	184	188
당기순이익(비지배)	17							
자산총계	2,712	2,915	3,864	4,515	3,563	3,864	4,171	
부채총계	933	850	1,318	1,344	1,127	1,318	1,509	
자본총계	1,779	2,065	2,546	3,170	2,436	2,546	2,662	
자본총계(지배)	1,688	2,047	2,524	3,121	2,417	2,524	2,640	
자본총계(비지배)	91							
자본금	148	148	148	149	148	148	148	
영업활동현금흐름	533	220	782	691	70	325	102	
투자활동현금흐름	-315	-27	-497	-260	-173	-268	-163	
재무활동현금흐름	-43	-245	18	-64	13	56	48	
CAPEX	109	96	376	149	94	160	123	
FCF	425	124	406	525	-24	165	-21	
이자발생부채	142	92	244		179	244	304	
영업이익률	14.45	15.15	16.88	16.96	16.13	18.65	18.68	17.32
순이익률	14.05	12.77	12.47	13.06	12.56	11.29	14.34	
ROE(%)	30.94	25.89	23.84	24.19	26.82	23.84	25.00	
ROA(%)	22.07	17.53	16.15	16.36	17.90	16.15	16.12	
부채비율	52.42	41.16	51.79	42.40	46.27	51.79	56.71	
자본유보율	1,045.53	1,288.24	1,610.23		1,535.98	1,610.23	1,685.13	
EPS(원)	1,549	1,637	1,844	2,311	462	405	624	635
PER(배)	21.01	12.19	15.05	13.41	13.36	15.05	11.48	
BPS(원)	5,714	6,928	8,545	10,565	8,180	8,545	8,936	
PBR(배)	5.70	2.88	3.25	2.93	3.20	3.25	2.59	
현금DPS(원)	160	200	250	270	0	250		
현금배당수익률	0.49	1.00	0.90	0.87				
현금배당성향(%)	10.33	12.22	13.56	11.68	0.00	61.68		
발행주식수(보통주)	29,543,558	29,543,558	29,543,558		29,543,558	29,543,558	29,543,558	
