	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	3,833	3,486	3,303		747	842	826	
영업이익	-38	40	-42		-16	-3	-21	
영업이익(발표기준)	-38	40	-42		-16	-3	-21	
세전계속사업이익	-35	15	-107		0	0	-110	
당기순이익	-18	18	-94		1	0	-97	
당기순이익(지배)	20	18	-81		3	-5	-81	
당기순이익(비지배)	-39							
자산총계	2,741	2,579	2,615		2,676	2,649	2,615	
부채총계	807	637	789		730	703	789	
자본총계	1,934	1,942	1,826		1,946	1,945	1,826	
자본총계(지배)	1,598	1,612	1,826		1,619	1,943	1,826	
자본총계(비지배)	335							
자본금	236	236	300		236	300	300	
영업활동현금흐름	245	20	88		-10	-58	116	
투자활동현금흐름	-47	-79	-47		29	-16	-25	
재무활동현금흐름	-60	-57	45		-2	47	1	
CAPEX	36	45	108		12	11	78	
FCF	209	-26	-20		-22	-69	38	
이자발생부채	51	0	73		18	65	73	
영업이익률	-1.00	1.14	-1.28		-2.21	-0.41	-2.54	
순이익률	-0.47	0.52	-2.85		0.08	-0.01	-11.74	
ROE(%)	1.29	1.10	-4.69		1.20	0.29	-4.69	
ROA(%)	-0.66	0.68	-3.63		0.87	0.53	-3.63	
부채비율	41.75	32.82	43.22		37.52	36.15	43.22	
자본유보율	658.09	666.37	580.69		669.41	613.96	580.69	
EPS(원)	43	37	-156		7	-9	-135	
PER(배)	71.66	54.65	N/A		90.96	293.49	N/A	
BPS(원)	3,915	3,949	3,409		3,967	3,628	3,409	
PBR(배)	0.79	0.52	0.76		0.94	0.86	0.76	
현금DPS(원)	0	0	20		0	0	20	
현금배당수익률	0.00	0.00	0.78					
현금배당성향(%)	0.00	0.00	-13.28		0.00	0.00	-13.25	
발행주식수(보통주)	47,293,490	47,293,490	60,052,260		47,293,490	60,052,260	60,052,260	
