	2017/03	2018/03	2019/03	2020/03	2019/06	2019/09	2019/12	2020/03
매출액	529	554	557		133	132	194	
영업이익	41	45	35		-11	-17	6	
영업이익(발표기준)	41	45	35		-11	-17	6	
세전계속사업이익	46	44	44		-9	-14	7	
당기순이익	37	36	38		-10	-14	5	
당기순이익(지배)	37	35	39		-10	-14	5	
당기순이익(비지배)								
자산총계	336	392	578		575	550	582	
부채총계	82	104	117		124	118	146	
자본총계	253	288	461		451	431	436	
자본총계(지배)	253	287	461		451	431	436	
자본총계(비지배)								
자본금	15	25	32		32	32	32	
영업활동현금흐름	49	35	22		-33	-30	-55	
투자활동현금흐름	-14	-39	-174		-17	3	22	
재무활동현금흐름	-4	-4	164			-7	-8	
CAPEX	2	3	4		1	1	3	
FCF	47	32	19		-34	-31	-58	
이자발생부채	0	0	2		5	9	3	
영업이익률	7.75	8.11	6.27		-8.35	-12.46	3.03	
순이익률	6.95	6.51	6.87		-7.50	-10.66	2.61	
ROE(%)		13.11	10.43			-2.73		
ROA(%)		9.91	7.89			-2.08		
부채비율	32.40	36.21	25.34		27.59	27.44	33.44	
자본유보율	1,682.10	1,074.94	1,454.08		1,422.80	1,361.37	1,377.21	
EPS(원)	744	716	773		-156	-221	79	
PER(배)			34.29			N/A		
BPS(원)	5,123	5,797	7,219		7,056	6,756	6,833	
PBR(배)	0.00	0.00	3.67		2.60	2.15	2.34	
현금DPS(원)	82	145	86					
현금배당수익률			0.32					
현금배당성향(%)	11.08	11.88	14.08		0.00	0.00		
발행주식수(보통주)	4,947,000	4,947,000	6,386,000		6,386,000	6,386,000	6,386,000	
