	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	3,951	4,130	4,122		1,120	933	948	
영업이익	293	248	125		21	17	40	
영업이익(발표기준)	293	248	125		21	17	40	
세전계속사업이익	360	166	-5		-59	23	-41	
당기순이익	292	157	9		-69	18	-42	
당기순이익(지배)	293	159	9		-69	18	-42	
당기순이익(비지배)	-1							
자산총계	4,898	4,682	4,669		4,898	4,669	4,647	
부채총계	3,278	2,910	2,699		2,953	2,699	2,721	
자본총계	1,621	1,772	1,970		1,945	1,970	1,926	
자본총계(지배)	1,627	1,781	1,967		1,945	1,967	1,924	
자본총계(비지배)	-6							
자본금	706	706	706		706	706	706	
영업활동현금흐름	298	287	-41		103	-33	188	
투자활동현금흐름	283	-18	64		18	-19	-9	
재무활동현금흐름	-567	-298	-7		-2	-195	-73	
CAPEX	32	38	26		7	4	6	
FCF	266	249	-67		96	-37	182	
이자발생부채	2,731	2,471	2,277		2,469	2,277	2,285	
영업이익률	7.41	6.01	3.02		1.91	1.87	4.25	
순이익률	7.39	3.81	0.22		-6.14	1.91	-4.49	
ROE(%)	26.41	9.32	0.49		1.31	0.49	-4.41	
ROA(%)	6.10	3.28	0.19		0.42	0.19	-1.75	
부채비율	202.25	164.29	136.99		151.81	136.99	141.25	
자본유보율	175.53	200.14	212.47		209.21	212.47	206.51	
EPS(원)	323	113	6		-49	13	-30	
PER(배)	4.37	10.53	155.66		65.25	155.66	N/A	
BPS(원)	1,379	1,509	1,502		1,485	1,502	1,469	
PBR(배)	1.02	0.79	0.67		0.75	0.67	0.49	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	141,144,600	141,144,600	141,144,600		141,144,600	141,144,600	141,144,600	
