	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	12,213	12,886	11,830		3,225	2,909	2,766	
영업이익	974	657	576		127	178	59	
영업이익(발표기준)	974	657	576		127	178	59	
세전계속사업이익	-89	605	837		198	237	103	
당기순이익	-72	363	629		149	198	58	
당기순이익(지배)	129	254	445		128	119	62	
당기순이익(비지배)	-201							
자산총계	14,888	15,452	15,573		15,082	15,616	15,573	
부채총계	2,300	2,661	2,298		2,030	2,370	2,298	
자본총계	12,588	12,790	13,276		13,052	13,245	13,276	
자본총계(지배)	7,601	7,789	8,175		8,011	8,127	8,175	
자본총계(비지배)	4,987							
자본금	185	185	185		185	185	185	
영업활동현금흐름	1,506	774	675		-197	951	398	
투자활동현금흐름	-931	-556	-1,147		284	-895	-509	
재무활동현금흐름	-79	-93	71		176	-204	84	
CAPEX	179	165	445		169	179	69	
FCF	1,327	610	229		-365	772	329	
이자발생부채	47	57	254		361	165	254	
영업이익률	7.97	5.10	4.87		3.93	6.13	2.13	
순이익률	-0.59	2.82	5.32		4.62	6.79	2.08	
ROE(%)	1.70	3.29	5.58		4.17	6.17	5.58	
ROA(%)	-0.49	2.39	4.05		2.86	4.80	4.05	
부채비율	18.27	20.80	17.31		15.55	17.89	17.31	
자본유보율	3,092.65	3,200.05	3,409.24		3,319.75	3,384.16	3,409.24	
EPS(원)	697	1,372	2,408		694	644	336	
PER(배)	21.30	10.02	5.31		8.01	4.74	5.31	
BPS(원)	49,695	50,920	53,446		52,371	53,135	53,446	
PBR(배)	0.30	0.27	0.24		0.27	0.24	0.24	
현금DPS(원)	250	280	280		0	0	280	
현금배당수익률	1.68	2.04	2.19					
현금배당성향(%)	29.71	16.89	9.62		0.00	0.00	69.07	
발행주식수(보통주)	18,476,380	18,476,380	18,476,380		18,476,380	18,476,380	18,476,380	
