	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	2,293	2,729	2,946	2,913	801	749	723	621
영업이익	90	62	225	209	88	60	44	19
영업이익(발표기준)	90	62	225		88	60	44	
세전계속사업이익	74	86	225	209	93	54	41	24
당기순이익	78	74	168	158	68	40	30	19
당기순이익(지배)	78	74	168	164	68	40	30	17
당기순이익(비지배)								
자산총계	2,591	2,858	2,959	3,124	3,033	2,969	2,959	
부채총계	727	942	863	887	1,016	912	863	
자본총계	1,864	1,916	2,096	2,237	2,017	2,057	2,096	
자본총계(지배)	1,864	1,916	2,096	2,237	2,017	2,057	2,096	
자본총계(비지배)								
자본금	62	62	62	61	62	62	62	
영업활동현금흐름	194	109	436	302	48	164	139	
투자활동현금흐름	-390	-348	-263	-266	-86	-55	-26	
재무활동현금흐름	162	226	-92	0	12	-92	-23	
CAPEX	455	353	259	277	99	47	16	
FCF	-261	-244	178	53	-50	117	123	
이자발생부채	400	625	535		648	556	535	
영업이익률	3.93	2.26	7.63	7.18	11.04	8.06	6.04	3.13
순이익률	3.40	2.70	5.70	5.42	8.52	5.31	4.16	3.06
ROE(%)	4.26	3.89	8.38	7.59	6.55	7.59	8.38	
ROA(%)	3.15	2.70	5.78	5.19	4.43	5.19	5.78	
부채비율	39.00	49.15	41.18	39.65	50.34	44.34	41.18	
자본유보율	2,911.22	2,999.45	3,285.68		3,156.81	3,220.06	3,285.68	
EPS(원)	628	594	1,355	1,327	551	321	243	137
PER(배)	47.91	38.57	17.23	13.98	24.12	19.34	17.23	
BPS(원)	15,038	15,453	16,906	18,046	16,271	16,592	16,906	
PBR(배)	2.00	1.48	1.38	1.03	1.54	1.42	1.38	
현금DPS(원)	0	0	160	160	0	0	160	
현금배당수익률	0.00	0.00	0.69	0.86				
현금배당성향(%)	0.00	0.00	11.81	12.06	0.00	0.00	65.92	
발행주식수(보통주)	12,398,000	12,398,000	12,398,000		12,398,000	12,398,000	12,398,000	
