	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	248	211	154		30	49	46	
영업이익	5	-15	-33		-9	-12	-3	
영업이익(발표기준)	5	-15	-33		-9	-12	-3	
세전계속사업이익	1	-7	-28		-6	-15	0	
당기순이익	5	-6	-34		-6	-20	0	
당기순이익(지배)	5	-6	-34		-6	-20	0	
당기순이익(비지배)								
자산총계	526	514	488		498	488	505	
부채총계	39	40	32		35	32	50	
자본총계	487	474	456		463	456	456	
자본총계(지배)	487	474	456		463	456	456	
자본총계(비지배)								
자본금	45	45	45		45	45	45	
영업활동현금흐름	13	2	-2		1	12	-17	
투자활동현금흐름	-8	7	4		4	-10	5	
재무활동현금흐름	-5	-8	0		-6		7	
CAPEX	4	4	1		0	0	0	
FCF	9	-2	-4		0	12	-17	
이자발생부채	3	0	0		0	0	7	
영업이익률	2.18	-7.12	-21.47		-32.00	-25.25	-5.52	
순이익률	2.19	-2.81	-21.90		-20.81	-41.34	0.35	
ROE(%)	1.11	-1.23	-7.24		-4.58	-7.24	-6.76	
ROA(%)	1.03	-1.14	-6.72		-4.22	-6.72	-6.15	
부채비율	8.00	8.35	7.03		7.52	7.03	10.87	
자본유보율	994.42	971.39	926.28		941.42	926.28	926.64	
EPS(원)	60	-66	-374		-68	-225	2	
PER(배)	53.49	N/A	N/A		N/A	N/A	N/A	
BPS(원)	5,473	5,330	5,123		5,202	5,123	5,125	
PBR(배)	0.59	0.48	0.54		0.54	0.54	0.29	
현금DPS(원)	50							
현금배당수익률	1.56							
현금배당성향(%)	82.23	0.00			0.00			
발행주식수(보통주)	9,000,000	9,000,000	9,000,000		9,000,000	9,000,000	9,000,000	
