	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,306	1,384	1,361		333	381	308	
영업이익	-141	-59	-40		-13	-10	-19	
영업이익(발표기준)	-141	-59	-40		-13	-10	-19	
세전계속사업이익	-232	-68	-130		-31	-40	-13	
당기순이익	-207	-91	-138		-47	-19	-15	
당기순이익(지배)	-207	-91	-137		-47	-19	-6	
당기순이익(비지배)	0							
자산총계	1,918	1,917	1,865		1,810	1,865	1,808	
부채총계	1,177	1,047	1,119		1,059	1,119	1,077	
자본총계	741	870	746		751	746	730	
자본총계(지배)	740	869	747		750	747	737	
자본총계(비지배)	1							
자본금	88	97	97		97	97	97	
영업활동현금흐름	3	-25	17		15	55	-27	
투자활동현금흐름	-40	-82	102		35	39	62	
재무활동현금흐름	49	88	-13		-83	36	-25	
CAPEX	39	15	22		6	-3	1	
FCF	-36	-40	-5		9	58	-28	
이자발생부채	742	702	702		740	702	693	
영업이익률	-10.77	-4.23	-2.95		-3.80	-2.71	-6.15	
순이익률	-15.86	-6.55	-10.11		-14.13	-5.11	-4.99	
ROE(%)	-25.11	-11.27	-17.00		-18.93	-17.00	-16.31	
ROA(%)	-10.88	-4.73	-7.28		-8.38	-7.28	-7.38	
부채비율	158.92	120.42	150.13		140.96	150.13	147.47	
자본유보율	665.19	756.67	700.12		705.40	700.12	693.55	
EPS(원)	-1,179	-498	-711		-244	-99	-33	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	4,276	4,563	3,926		3,941	3,926	3,874	
PBR(배)	3.02	1.78	1.55		1.73	1.55	1.37	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	17,575,133	19,310,522	19,310,522		19,310,522	19,310,522	19,310,522	
