	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	74	77	80		19	21	17	
영업이익	-32	-13	-6		-4	2	0	
영업이익(발표기준)	-32	-13	-6		-4	2	0	
세전계속사업이익	-70	-41	35		-4	40	1	
당기순이익	-70	-41	35		-4	40	1	
당기순이익(지배)	-70	-41	35		-4	40	1	
당기순이익(비지배)								
자산총계	279	241	218		216	218	218	
부채총계	81	78	16		54	16	16	
자본총계	198	163	202		162	202	202	
자본총계(지배)	198	163	202		162	202	202	
자본총계(비지배)								
자본금	160	160	161		161	161	161	
영업활동현금흐름	-21	10	10		0	7	8	
투자활동현금흐름	19	-17	-8		0	3	-2	
재무활동현금흐름	-8	9	4		1	0	0	
CAPEX	48	8	9		-1	4	1	
FCF	-69	2	1		1	3	7	
이자발생부채	0	0	0		0	0	0	
영업이익률	-43.28	-17.40	-7.65		-22.54	8.26	2.68	
순이익률	-94.11	-53.46	44.09		-20.67	190.94	7.62	
ROE(%)	-34.00	-22.79	19.20		-19.27	6.42	19.20	
ROA(%)	-22.85	-15.85	15.28		-14.42	5.26	15.28	
부채비율	40.61	47.68	7.83		33.63	7.99	7.83	
자본유보율	21.65	-0.66	24.49		-0.99	23.68	24.49	
EPS(원)	-221	-129	109		-12	123	4	
PER(배)	N/A	N/A	21.49		N/A	60.83	21.49	
BPS(원)	621	509	629		503	627	629	
PBR(배)	13.65	8.93	3.73		8.22	4.11	3.73	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	31,941,860	32,034,160	32,136,660		32,136,660	32,136,660	32,136,660	
