	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	241	621	1,114	1,241	363	261	296	309
영업이익	79	169	378	403	115	78	79	101
영업이익(발표기준)	79	169	378		115	78	79	
세전계속사업이익	96	196	421	473	136	77	106	125
당기순이익	76	160	334	376	110	60	87	88
당기순이익(지배)	77	154	316	363	104	58	84	93
당기순이익(비지배)	-1							
자산총계	931	1,174	1,396	1,732	1,330	1,396	1,437	
부채총계	210	295	302	340	274	302	280	
자본총계	721	879	1,094	1,391	1,056	1,094	1,157	
자본총계(지배)	712	867	1,067	1,365	1,029	1,067	1,127	
자본총계(비지배)	9							
자본금	8	16	16	17	16	16	16	
영업활동현금흐름	72	145	213	319	127	-20	8	
투자활동현금흐름	41	-125	263	-38	-115	249	-67	
재무활동현금흐름	-42	-27	-208	-84	-52	-28	-34	
CAPEX	14	2	6	6	0	2	0	
FCF	59	143	207	295	127	-22	7	
이자발생부채	0	0	13		8	13	11	
영업이익률	32.73	27.16	33.98	32.52	31.79	30.02	26.67	32.69
순이익률	31.62	25.78	29.95	30.30	30.24	22.86	29.51	28.40
ROE(%)	10.94	19.46	32.65	29.82	35.78	32.65	31.21	
ROA(%)	8.81	15.21	25.96	24.04	29.37	25.96	24.45	
부채비율	29.15	33.55	27.55	24.48	25.97	27.55	24.16	
자본유보율	8,676.52	5,150.28	6,251.12		6,049.96	6,251.12	6,572.62	
EPS(원)	475	949	1,949	2,238	643	361	522	574
PER(배)	18.60	12.02	16.52	16.08	14.84	16.52	12.94	
BPS(원)	4,412	5,353	6,585	8,429	6,354	6,585	6,954	
PBR(배)	2.00	2.13	4.89	4.27	4.68	4.89	3.62	
현금DPS(원)	125	390	670	648	160	200		
현금배당수익률	1.42	3.42	2.08	1.80				
현금배당성향(%)	26.21	41.11	34.38	28.97	24.90	55.38		
발행주식수(보통주)	16,198,937	16,198,937	16,198,937		16,198,937	16,198,937	16,198,937	
