		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0		0	0	0	
영업이익			0		0	0	0	
영업이익(발표기준)			0		0	0	0	
세전계속사업이익			0		0	0	0	
당기순이익			0		0	0	0	
당기순이익(지배)			0		0	0	0	
당기순이익(비지배)								
자산총계			96		95	96	96	
부채총계			12		11	11	12	
자본총계			85		84	84	85	
자본총계(지배)			85		84	84	85	
자본총계(비지배)								
자본금			4		4	4	4	
영업활동현금흐름			0		0	0	0	
투자활동현금흐름			-80		0	0	0	
재무활동현금흐름			91		0	0	0	
CAPEX								
FCF								
이자발생부채			11		11	11	11	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			13.62		13.33	13.44	13.62	
자본유보율			1,821.81		1,814.16	1,818.43	1,821.81	
EPS(원)			5		0	4	3	
PER(배)			442.35					
BPS(원)			1,922		1,914	1,918	1,922	
PBR(배)			1.08		1.11	1.10	1.08	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)					0.00	0.00		
발행주식수(보통주)			4,400,000		4,400,000	4,400,000	4,400,000	
