	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	672	803	904		259	215	217	
영업이익	4	28	42		22	9	2	
영업이익(발표기준)	4	28	42		22	9	2	
세전계속사업이익	179	-845	471		-104	48	245	
당기순이익	152	-824	465		-115	39	257	
당기순이익(지배)	142	-842	463		-116	38	258	
당기순이익(비지배)	10							
자산총계	2,227	1,343	1,795		1,528	1,576	1,795	
부채총계	815	660	642		680	687	642	
자본총계	1,411	683	1,153		848	890	1,153	
자본총계(지배)	1,390	670	1,145		832	872	1,145	
자본총계(비지배)	21							
자본금	63	90	91		90	90	91	
영업활동현금흐름	29	-4	68		49	19	10	
투자활동현금흐름	-196	43	-2		21	2	-6	
재무활동현금흐름	165	-32	-23		-46	-5	1	
CAPEX	46	10	23		8	1	10	
FCF	-16	-14	45		41	18	0	
이자발생부채	588	429	428		427	427	428	
영업이익률	0.63	3.47	4.60		8.64	4.28	0.79	
순이익률	22.55	-102.65	51.47		-44.28	18.14	118.53	
ROE(%)	10.76	-81.71	50.98		-63.75	-61.11	50.98	
ROA(%)	7.36	-46.17	29.64		-40.81	-39.24	29.64	
부채비율	57.77	96.59	55.66		80.10	77.15	55.66	
자본유보율	2,037.75	625.31	1,129.86		800.17	845.54	1,129.86	
EPS(원)	1,006	-5,096	2,577		-649	212	1,437	
PER(배)	5.62	N/A	1.64		N/A	N/A	1.64	
BPS(원)	9,871	3,736	6,293		4,636	4,860	6,293	
PBR(배)	0.57	1.13	0.67		0.85	0.79	0.67	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	14,081,547	17,934,432	18,193,230		17,934,432	17,934,432	18,193,230	
