	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	13,264	10,636	16,425		3,847	3,917	5,254	
영업이익	719	478	588		155	99	132	
영업이익(발표기준)	719	478	588		155	99	132	
세전계속사업이익	295	334	430		161	75	-17	
당기순이익	225	241	282		127	51	-14	
당기순이익(지배)	225	241	282		127	51	-14	
당기순이익(비지배)								
자산총계	9,421	9,692	10,392		10,696	11,139	10,392	
부채총계	6,039	6,155	6,617		6,937	7,328	6,617	
자본총계	3,381	3,536	3,775		3,759	3,811	3,775	
자본총계(지배)	3,383	3,537	3,775		3,760	3,811	3,775	
자본총계(비지배)	-1							
자본금	1,070	1,070	1,070		1,070	1,070	1,070	
영업활동현금흐름	1,025	-250	937		-51	-480	973	
투자활동현금흐름	603	134	-248		-91	139	-249	
재무활동현금흐름	-500	-187	226		148	462	-363	
CAPEX	11	11	12		3	2	3	
FCF	1,014	-261	926		-54	-482	969	
이자발생부채	2,096	2,019	2,385		2,228	2,721	2,385	
영업이익률	5.42	4.49	3.58		4.03	2.52	2.51	
순이익률	1.70	2.27	1.72		3.30	1.30	-0.26	
ROE(%)	6.93	6.97	7.72		8.34	7.33	7.72	
ROA(%)	2.44	2.53	2.81		3.03	2.70	2.81	
부채비율	178.61	174.07	175.26		184.52	192.30	175.26	
자본유보율	202.73	231.25	254.00		251.63	256.39	254.00	
EPS(원)	1,051	1,127	1,319		593	238	-64	
PER(배)	7.74	6.27	4.93		5.12	5.30	4.93	
BPS(원)	15,806	16,529	17,642		17,572	17,807	17,642	
PBR(배)	0.51	0.43	0.37		0.41	0.38	0.37	
현금DPS(원)	130	130	150		0	0	150	
현금배당수익률	1.60	1.84	2.31					
현금배당성향(%)	12.37	11.53	11.37		0.00	0.00	-233.81	
발행주식수(보통주)	21,400,000	21,400,000	21,400,000		21,400,000	21,400,000	21,400,000	
